clock-rate,min,max,avg,,clock-rate,1/clock-rate,avg
1200,924,931,928,,768000,1.30208E-06,2
2400,465,527,481,,512000,1.953125,3
4800,233,235,233,,500000,2,3
9600,117,117,117,,384000,2.604166667,4
14400,79,79,79,,256000,3.90625,5
19200,59,60,59,,250000,4,6
28800,39,40,39,,192000,5.208333333,7
32000,36,36,36,,148000,6.756756757,8
38400,30,30,30,,128000,7.8125,10
56000,21,21,21,,125000,8,10
57600,20,21,20,,115200,8.680555556,11
64000,18,19,18,,72000,13.88888889,16
72000,16,17,16,,64000,15.625,18
115200,11,11,11,,57600,17.36111111,20
125000,10,10,10,,56000,17.85714286,21
128000,10,10,10,,38400,26.04166667,30
148000,8,9,8,,32000,31.25,36
192000,7,7,7,,28800,34.72222222,39
250000,5,6,6,,19200,52.08333333,59
256000,5,5,5,,14400,69.44444444,79
384000,4,4,4,,9600,104.1666667,117
500000,3,3,3,,4800,208.3333333,233
512000,3,3,3,,2400,416.6666667,481
768000,2,2,2,,1200,833.3333333,928
800000, Request timed out.,,,,,,
